field_id,description,category_name,dataset_name,alphaCount,userCount,source,type
sector,Sector grouping,Price Volume,Price Volume Data for Equity,301141,14998,CSV,GROUP
returns,Daily returns,Price Volume,Price Volume Data for Equity,289748,23004,CSV+PDF,MATRIX
volume,Daily volume,Price Volume,Price Volume Data for Equity,264448,25157,CSV,MATRIX
subindustry,Subindustry grouping,Price Volume,Price Volume Data for Equity,240087,21355,CSV,GROUP
vwap,Daily volume weighted average price,Price Volume,Price Volume Data for Equity,59863,15900,CSV,MATRIX
high,Daily high price,Price Volume,Price Volume Data for Equity,51090,11676,CSV,MATRIX
open,Daily open price,Price Volume,Price Volume Data for Equity,48249,10288,CSV,MATRIX
operating_income,Operating Income After Depreciation - Quarterly,Fundamental,Company Fundamental Data for Equity,37881,14905,CSV,MATRIX
enterprise_value,Enterprise Value,Fundamental,Company Fundamental Data for Equity,35726,8111,CSV,MATRIX
sales,Sales/Turnover (Net),Fundamental,Company Fundamental Data for Equity,32558,9688,CSV,MATRIX
sharesout,Daily outstanding shares (in millions),Price Volume,Price Volume Data for Equity,27820,5441,CSV,MATRIX
equity,Common/Ordinary Equity - Total,Fundamental,Company Fundamental Data for Equity,19910,4964,CSV,MATRIX
ebit,Earnings Before Interest and Taxes,Fundamental,Company Fundamental Data for Equity,18498,7535,CSV,MATRIX
ebitda,Earnings Before Interest,Fundamental,Company Fundamental Data for Equity,18248,6915,CSV,MATRIX
scl12_buzz,relative sentiment volume,Social Media,Sentiment Data for Equity,17984,11802,CSV+PDF,MATRIX
pv13_r2_min2_3000_sector,grouping fields,Price Volume,Relationship Data for Equity,17261,3281,CSV,GROUP
pv13_h_min2_3000_sector,grouping fields,Price Volume,Relationship Data for Equity,16505,2609,CSV,GROUP
split,Stock split ratio,Price Volume,Price Volume Data for Equity,16135,2994,CSV,MATRIX
eps,Earnings Per Share (Basic) - Including Extraordinary Items,Fundamental,Company Fundamental Data for Equity,15771,3140,CSV,MATRIX
fn_liab_fair_val_l1_a,"Liabilities Fair Value, Recurring, Level 1",Fundamental,Report Footnotes,15417,12280,CSV,MATRIX
nws12_afterhsz_sl,Whether a long or short position would have been more advantageous: If (EODHigh - Last) > (Last - EODLow) Then LS = 1; If (EODHigh - Last) = (Last - EODLow) Then LS = 0; If (EODHigh - Last) < (Last - EODLow) Then LS = -1.,News,US News Data,14970,9682,CSV,VECTOR
fn_oth_income_loss_fx_transaction_and_tax_translation_adj_a,"Amount after tax and reclassification adjustments of gain (loss) on foreign currency translation adjustments, foreign currency transactions designated and effective as economic hedges of a net investment in a foreign entity, and intra-entity foreign currency transactions that are of a long-term-investment nature.",Fundamental,Report Footnotes,13938,11090,CSV,MATRIX
goodwill,Goodwill (net),Fundamental,Company Fundamental Data for Equity,12857,3716,CSV,MATRIX
revenue,Revenue - Total,Fundamental,Company Fundamental Data for Equity,11481,3242,CSV,MATRIX
dividend,Dividend,Price Volume,Price Volume Data for Equity,10844,3909,CSV+PDF,MATRIX
pv13_r2_min20_3000_sector,grouping fields,Price Volume,Relationship Data for Equity,10535,2456,CSV,GROUP
pv13_h_min2_focused_pureplay_3000_sector,grouping fields,Price Volume,Relationship Data for Equity,10017,2064,CSV,GROUP
pcr_oi_270,Ratio of put open interest to call open interest on a stock's options with expiration 270 days in the future.,Option,Options Analytics,9418,5447,CSV,MATRIX
ppent,Property Plant and Equipment - Total (Net),Fundamental,Company Fundamental Data for Equity,9173,1434,CSV,MATRIX
implied_volatility_call_270,At-the-money option-implied volatility for call Option for 270 days,Option,Volatility Data,9142,6023,CSV,MATRIX
operating_expense,Operating Expense - Total,Fundamental,Company Fundamental Data for Equity,8922,1641,CSV,MATRIX
fnd6_fopo,Funds from Operations - Other,Fundamental,Company Fundamental Data for Equity,8646,6205,CSV,MATRIX
fnd6_drlt,Deferred Revenue - Long-term,Fundamental,Company Fundamental Data for Equity,8419,5927,CSV,MATRIX
implied_volatility_call_120,At-the-money option-implied volatility for call Option for 120 days,Option,Volatility Data,8267,4020,CSV,MATRIX
return_equity,Return on Equity,Fundamental,Company Fundamental Data for Equity,7931,1568,CSV,MATRIX
sga_expense,"Selling, General and Administrative Expenses",Fundamental,Company Fundamental Data for Equity,7872,1418,CSV,MATRIX
fnd6_drc,Deferred Revenue - Current,Fundamental,Company Fundamental Data for Equity,7852,5872,CSV,MATRIX
receivable,Receivables - Total,Fundamental,Company Fundamental Data for Equity,7830,1379,CSV,MATRIX
implied_volatility_call_1080,At-the-money option-implied volatility for call option for 1080 days,Option,Volatility Data,7619,3214,CSV,MATRIX
unsystematic_risk_last_360_days,Unsystematic Risk Last 360 Days - Relative to SPY,Model,Systematic Risk Metrics,7428,1961,CSV,MATRIX
fnd6_ivaco,Investing Activities - Other,Fundamental,Company Fundamental Data for Equity,7352,5502,CSV,MATRIX
retained_earnings,Retained Earnings,Fundamental,Company Fundamental Data for Equity,7222,2909,CSV,MATRIX
news_mins_10_pct_dn,Number of minutes that elapsed before price went down 10 percentage points,News,US News Data,7199,3070,CSV,MATRIX
sales_growth,Growth in Sales (Quarterly),Fundamental,Company Fundamental Data for Equity,7149,2474,CSV,MATRIX
snt_buzz,"negative relative sentiment volume, fill nan with 0",Social Media,Sentiment Data for Equity,7142,2211,CSV+PDF,MATRIX
pretax_income,Pretax Income,Fundamental,Company Fundamental Data for Equity,6995,1245,CSV,MATRIX
fnd6_newa2v1300_ppent,"Property, Plant and Equipment - Total (Net)",Fundamental,Company Fundamental Data for Equity,6847,1480,CSV,MATRIX
return_assets,Return on Assets,Fundamental,Company Fundamental Data for Equity,6775,1884,CSV,MATRIX
news_cap,Reported market capitalization for the calendar day of the session,News,US News Data,6383,1736,CSV,MATRIX
sales_ps,Sales per Share (Quarterly),Fundamental,Company Fundamental Data for Equity,6097,1536,CSV,MATRIX
implied_volatility_mean_10,At-the-money option-implied volatility mean for 10 days,Option,Volatility Data,5933,2391,CSV,MATRIX
fnd6_mrcta,Thereafter Portion of Leases,Fundamental,Company Fundamental Data for Equity,5489,3662,CSV,MATRIX
fnd6_recd,Receivables - Estimated Doubtful,Fundamental,Company Fundamental Data for Equity,5264,1184,CSV,MATRIX
working_capital,Working Capital (Balance Sheet),Fundamental,Company Fundamental Data for Equity,5147,1147,CSV,MATRIX
implied_volatility_call_60,At-the-money option-implied volatility for call Option for 60 days,Option,Volatility Data,5124,2562,CSV,MATRIX
snt_buzz_bfl,"negative relative sentiment volume, fill nan with 1",Social Media,Sentiment Data for Equity,5076,2084,CSV,MATRIX
employee,Employees,Fundamental,Company Fundamental Data for Equity,5047,1249,CSV,MATRIX
fnd6_rea,Retained Earnings - Restatement,Fundamental,Company Fundamental Data for Equity,5018,1898,CSV,MATRIX
implied_volatility_call_180,At-the-money option-implied volatility for call Option for 180 days,Option,Volatility Data,4949,2575,CSV,MATRIX
pv13_h_f1_sector,grouping fields,Price Volume,Relationship Data for Equity,4885,1396,CSV,GROUP
rel_num_part,number of the instrument's partners,Price Volume,Relationship Data for Equity,4878,1855,CSV,MATRIX
est_capex,Capital Expenditures - mean of estimations,Analyst,Analyst Estimate Data for Equity,4533,588,CSV,MATRIX
fnd6_fatl,"Property, Plant, and Equipment - Leases at Cost",Fundamental,Company Fundamental Data for Equity,4533,2868,CSV,MATRIX
fnd6_ein,Employer Identification Number code for the company,Fundamental,Company Fundamental Data for Equity,4396,1592,CSV,MATRIX
snt_social_volume,Normalized tweet volume,Social Media,Social Media Data for Equity,4393,1730,CSV,MATRIX
snt_social_value,Z score of sentiment,Social Media,Social Media Data for Equity,4342,1990,CSV+PDF,MATRIX
historical_volatility_180,Close-to-close Historical volatility over 180 days,Option,Volatility Data,4047,1792,CSV,MATRIX
anl4_bac1detaillt_item,Financial item,Analyst,Analyst Estimate Data for Equity,3987,2327,CSV,VECTOR
implied_volatility_call_150,At-the-money option-implied volatility for call Option for 150 days,Option,Volatility Data,3975,2030,CSV+PDF,MATRIX
scl12_alltype_buzzvec,sentiment volume,Social Media,Sentiment Data for Equity,3935,2417,CSV+PDF,VECTOR
anl4_dei3lltv110_item,Financial item,Analyst,Analyst Estimate Data for Equity,3913,2116,CSV,VECTOR
implied_volatility_call_10,At-the-money option-implied volatility for call Option for 10 days,Option,Volatility Data,3720,1874,CSV,MATRIX
snt_buzz_ret,negative return of relative sentiment volume,Social Media,Sentiment Data for Equity,3657,1609,CSV,MATRIX
news_atr14,14-day Average True Range,News,US News Data,3555,649,CSV,MATRIX
fnd6_newqv1300_drltq,Deferred Revenue - Long-term,Fundamental,Company Fundamental Data for Equity,3506,1721,CSV,MATRIX
fnd6_newa2v1300_rdipeps,In Process R&D Expense Basic EPS Effect,Fundamental,Company Fundamental Data for Equity,3464,2801,CSV,MATRIX
parkinson_volatility_120,Parkinson model's historical volatility over 120 days,Option,Volatility Data,3442,1835,CSV,MATRIX
historical_volatility_120,Close-to-close Historical volatility over 120 days,Option,Volatility Data,3426,1580,CSV,MATRIX
anl4_basicconqfv110_pu,The number of upper estimations,Analyst,Analyst Estimate Data for Equity,3389,1923,CSV,VECTOR
fnd6_xrent,Rental Expense,Fundamental,Company Fundamental Data for Equity,3201,1820,CSV,MATRIX
implied_volatility_call_360,At-the-money option-implied volatility for call Option for 360 days,Option,Volatility Data,3191,1599,CSV,MATRIX
implied_volatility_call_30,At-the-money option-implied volatility for call Option for 30 days,Option,Volatility Data,3155,1416,CSV,MATRIX
fnd6_ds,Debt - Subordinated,Fundamental,Company Fundamental Data for Equity,3149,1738,CSV,MATRIX
implied_volatility_call_90,At-the-money option-implied volatility for call Option for 90 days,Option,Volatility Data,3099,1318,CSV,MATRIX
rel_num_all,number of the companies whose product overlapped with the instrument,Price Volume,Relationship Data for Equity,3072,1195,CSV,MATRIX
pv13_revere_key_sector_total,Number of key focus sectors for the company,Price Volume,Relationship Data for Equity,3009,1563,CSV,MATRIX
pv13_revere_term_sector_total,Number of terminal sectors for the company,Price Volume,Relationship Data for Equity,2997,1097,CSV+PDF,MATRIX
scl12_sentiment,sentiment,Social Media,Sentiment Data for Equity,2891,998,CSV,MATRIX
rp_css_business,Composite sentiment score of business-related news,News,Ravenpack News Data,2888,891,CSV,MATRIX
implied_volatility_call_720,At-the-money option-implied volatility for call Option for 720 days,Option,Volatility Data,2843,1432,CSV,MATRIX
news_eod_close,Close price of the session,News,US News Data,2810,1162,CSV,MATRIX
anl4_bac1detailrec_item,Financial item,Analyst,Analyst Estimate Data for Equity,2796,1222,CSV,VECTOR
fnd6_txdbclq,Current Deferred Tax Liability,Fundamental,Company Fundamental Data for Equity,2791,1374,CSV,MATRIX
fnd6_lcox,Current Liabilities - Other - Sundry,Fundamental,Company Fundamental Data for Equity,2790,1931,CSV,MATRIX
fnd6_newa2v1300_oibdp,Operating Income Before Depreciation,Fundamental,Company Fundamental Data for Equity,2779,1054,CSV,MATRIX
unsystematic_risk_last_90_days,Unsystematic Risk Last 90 Days - Relative to SPY,Model,Systematic Risk Metrics,2776,1190,CSV,MATRIX
anl4_dei2lqfv110_item,Financial item,Analyst,Analyst Estimate Data for Equity,2727,1724,CSV,VECTOR
news_pe_ratio,Reported price-to-earnings ratio for the calendar day of the session,News,US News Data,2705,1209,CSV,MATRIX
pv13_reveremap,Mapping data,Price Volume,Relationship Data for Equity,2656,1113,CSV,MATRIX
fnd6_currencya_curcd,ISO Currency Code - Company Annual Market,Fundamental,Company Fundamental Data for Equity,2617,1851,CSV,MATRIX
fnd6_newqv1300_lltq,Long-Term Liabilities (Total),Fundamental,Company Fundamental Data for Equity,2580,939,CSV,MATRIX
rel_ret_part,Averaged one-day return of the instrument's partners,Price Volume,Relationship Data for Equity,2505,1039,CSV,MATRIX
rd_expense,Research And Development (Quarterly),Fundamental,Company Fundamental Data for Equity,2470,694,CSV,MATRIX
fnd6_eventv110_optvolq,Volatility - Assumption (%),Fundamental,Company Fundamental Data for Equity,2446,1252,CSV,VECTOR
fnd6_pifo,Pretax Income - Foreign,Fundamental,Company Fundamental Data for Equity,2427,1228,CSV,MATRIX
rel_ret_comp,Averaged one-day return of the competing companies,Price Volume,Relationship Data for Equity,2400,1440,CSV,MATRIX
historical_volatility_10,Close-to-close Historical volatility over 10 days,Option,Volatility Data,2362,973,CSV,MATRIX
rel_num_cust,number of the instrument's customers,Price Volume,Relationship Data for Equity,2344,972,CSV,MATRIX
fnd6_newa1v1300_gp,Gross Profit (Loss),Fundamental,Company Fundamental Data for Equity,2342,1067,CSV,MATRIX
anl4_dts_rspe,Reported Earnings per share - standard deviation of estimations,Analyst,Analyst Estimate Data for Equity,2327,1468,CSV,MATRIX
fnd6_ppents,"Property, Plant & Equipment",Fundamental,Company Fundamental Data for Equity,2322,817,CSV,VECTOR
fnd6_zipcode,ZIP code related to the company,Fundamental,Company Fundamental Data for Equity,2302,904,CSV,MATRIX
fn_op_lease_rent_exp_a,"Rental expense for the reporting period incurred under operating leases, including minimum and any contingent rent expense, net of related sublease income.",Fundamental,Report Footnotes,2275,1038,CSV,MATRIX
historical_volatility_60,Close-to-close Historical volatility over 60 days,Option,Volatility Data,2273,879,CSV,MATRIX
fnd6_lcoxdr,Current Liabilities - Other - Excluding Deferred Revenue,Fundamental,Company Fundamental Data for Equity,2242,1030,CSV,MATRIX
pcr_oi_180,Ratio of put open interest to call open interest on a stock's options with expiration 180 days in the future.,Option,Options Analytics,2200,1340,CSV,MATRIX
fnd6_dlto,Debt - Long-Term - Other,Fundamental,Company Fundamental Data for Equity,2188,1901,CSV,MATRIX
news_atr_ratio,Ratio of today's range to 20-day average true range,News,US News Data,2150,667,CSV,MATRIX
fnd6_intc,Interest Capitalized,Fundamental,Company Fundamental Data for Equity,2144,1405,CSV,MATRIX
snt_value,"negative sentiment, fill nan with 0",Social Media,Sentiment Data for Equity,2129,654,CSV,MATRIX
news_mins_20_chg,The minimum of L or S above for 20-minute bucket,News,US News Data,2118,1023,CSV,MATRIX
historical_volatility_150,Close-to-close Historical volatility over 150 days,Option,Volatility Data,2097,863,CSV,MATRIX
fnd6_newa2v1300_prsho,Redeem Pfd Shares Outs (000),Fundamental,Company Fundamental Data for Equity,2069,1857,CSV,MATRIX
pv13_1l_scibr,grouping fields,Price Volume,Relationship Data for Equity,2059,751,CSV,GROUP
rp_nip_inverstor,News impact projection of investor relations news,News,Ravenpack News Data,2059,689,CSV,MATRIX
nws12_afterhsz_57s,Number of minutes that elapsed before price went down 7.5 percentage points,News,US News Data,2035,606,CSV,VECTOR
nws12_mainz_01p,The minimum of L or S above for 10-minute bucket,News,US News Data,2034,684,CSV,VECTOR
parkinson_volatility_180,Parkinson model's historical volatility over 180 days,Option,Volatility Data,1998,876,CSV,MATRIX
pv13_h2_sector,grouping fields,Price Volume,Relationship Data for Equity,1968,740,CSV,GROUP
fnd6_weburl,WEB URL code for the company,Fundamental,Company Fundamental Data for Equity,1898,842,CSV,MATRIX
pv13_custretsig_retsig,Sign of customer return,Price Volume,Relationship Data for Equity,1885,802,CSV+PDF,MATRIX
fnd6_mrc2,Rental Commitments - Minimum - 2nd Year,Fundamental,Company Fundamental Data for Equity,1876,862,CSV,MATRIX
fnd6_exre,Exchange Rate Effect,Fundamental,Company Fundamental Data for Equity,1870,743,CSV,MATRIX
fnd6_txo,Income Taxes - Other,Fundamental,Company Fundamental Data for Equity,1863,1382,CSV,MATRIX
fnd6_loxdr,Liabilities - Other - Excluding Deferred Revenue,Fundamental,Company Fundamental Data for Equity,1847,960,CSV,MATRIX
implied_volatility_call_20,At-the-money option-implied volatility for call Option for 20 days,Option,Volatility Data,1847,903,CSV,MATRIX
fnd6_teq,Stockholders' Equity - Total,Fundamental,Company Fundamental Data for Equity,1809,878,CSV,MATRIX
historical_volatility_90,Close-to-close Historical volatility over 90 days,Option,Volatility Data,1797,743,CSV,MATRIX
rel_num_comp,number of the instrument's competitors,Price Volume,Relationship Data for Equity,1797,1023,CSV,MATRIX
pv13_com_rk_au,the HITS authority score of competitors,Price Volume,Relationship Data for Equity,1794,929,CSV,MATRIX
news_tot_ticks,Total number of ticks for the trading day,News,US News Data,1793,878,CSV,MATRIX
fnd6_newqeventv110_optrfrq,Risk Free Rate - Assumption (%),Fundamental,Company Fundamental Data for Equity,1790,1106,CSV,VECTOR
fnd6_newa2v1300_rdipd,In Process R&D Expense Diluted EPS Effect,Fundamental,Company Fundamental Data for Equity,1780,1369,CSV,MATRIX
fnd6_state,integer for identifying the state of the company,Fundamental,Company Fundamental Data for Equity,1754,581,CSV,MATRIX
pv13_revere_index_cap,Company market capitalization,Price Volume,Relationship Data for Equity,1722,911,CSV,MATRIX
